Name,Address,Latitude,Longitude,Username,Email
Apollo Hospitals Guwahati,"Lotus Tower, International Hospitals, GS Rd, Christian Basti, Guwahati, Assam 781005, India",26.15394800,91.78088550,N/A,N/A
"Narayana Hospital, Guwahati","Civil Hospital Complex Greenland Restaurant Tularam Bafna, Amingaon, Guwahati, Assam 781031, India",26.20771610,91.67766020,narayana-hospital-guwahati,narayana-hospital-guwahati@example.com
Hayat Hospital,"Kahilipara Main Rd, Odalbakra, Kahilipara, Guwahati, Assam 781034, India",26.13909020,91.74621660,hayat-hospital,hayat-hospital@example.com
"GNRC Hospitals, Dispur Unit","GNRC Rd, Super Market, Dispur, Rukmini Gaon, Guwahati, Assam 781005, India",26.13907170,91.79462140,gnrc-hospitals-dispur-unit,gnrc-hospitals-dispur-unit@example.com
Apollo Excelcare Hospital,"NH-37, near Ganesh Mandir, Paschim Boragaon, Guwahati, Assam 781033, India",26.12770420,91.68126300,apollo-excelcare-hospital,apollo-excelcare-hospital@example.com
North Guwahati Multi-speciality Hospital,"NH-37, DC Office Road, Point, Amingaon, Guwahati, Assam 781031, India",26.19241270,91.66944340,north-guwahati-multi-speciality-hospital,north-guwahati-multi-speciality-hospital@example.com
HEALTH CITY HOSPITAL,"opp. Bodoland Guest House, Uday Nagar, Khanapara, Guwahati, Assam 781022, India",26.11725330,91.81530460,health-city-hospital,health-city-hospital@example.com
down town hospital,"GS Rd, Bormotoria, Guwahati, Assam 781006, India",26.13863070,91.79958840,down-town-hospital,down-town-hospital@example.com
"GNRC Medical, North Guwahati","6M3V+H3H, IIT Road Near IIT Sila Grant, Amingaon, Guwahati, Assam 781030, India",26.20255310,91.69352040,gnrc-medical-north-guwahati,gnrc-medical-north-guwahati@example.com
GATE Hospital,"2 Mathgharia Mother Teresa Road, Zoo-Narengi Rd, BG Tiniali, Noonmati, Guwahati, Assam 781020, India",26.17829620,91.80390930,gate-hospital,gate-hospital@example.com
Pratiksha Hospital,"VIP Rd, Borbari, Guwahati, Assam 781036, India",26.15849550,91.81187240,pratiksha-hospital,pratiksha-hospital@example.com
Wintrobe Hospital,"GNB Rd, Ambari, Guwahati, Assam 781001, India",26.18542400,91.75604870,wintrobe-hospital,wintrobe-hospital@example.com
Nemcare Super Speciality Hospital,"GMC Hospital Rd, Bhangagarh, Guwahati, Assam 781005, India",26.16406870,91.76892420,nemcare-super-speciality-hospital,nemcare-super-speciality-hospital@example.com
Ayursundra Superspecialty Hospital,"Bhabanand Boro Path Opposite: DPS School Ahom Gaon, GARCHUK, Guwahati, Assam 781035, India",26.10903500,91.71932500,ayursundra-superspecialty-hospital,ayursundra-superspecialty-hospital@example.com
Arya Hospital,"AM Rd, opposite Apsara Cinema, Manipuri Rajbari, Rehabari, Guwahati, Assam 781008, India",26.17476990,91.75242630,arya-hospital,arya-hospital@example.com
Swagat Super Speciality Hospital and Surgical institute,"Gate No. 4, Mahapurush Damodardev Path, near Railway Colony, Maligaon, Guwahati, Assam 781011, India",26.16051320,91.70733780,swagat-super-speciality-hospital-and-surgical-institute,swagat-super-speciality-hospital-and-surgical-institute@example.com
Guwahati Metro Hospital,"Uday Nagar, Khanapara, opp. Bodoland Guest House, Guwahati, Assam 781022, India",26.11743370,91.81579410,guwahati-metro-hospital,guwahati-metro-hospital@example.com
